grid_x,grid_y,police_count,center_lon,center_lat
1412154,417646,1,127.093905,37.588185
1412172,417941,1,127.09552500000001,37.614735
1412173,417767,1,127.09561500000001,37.599075
1412198,417102,1,127.09786500000001,37.539225
1412242,417718,1,127.101825,37.594665
1412259,417160,1,127.10335500000001,37.544445
1412271,417980,1,127.10443500000001,37.618245
1412275,416546,1,127.10479500000001,37.489185
1412303,416279,1,127.10731500000001,37.465155
1412325,416736,1,127.109295,37.506285000000005
1412361,416890,1,127.11253500000001,37.520145
1412412,417046,1,127.117125,37.534185
1412453,417139,1,127.12081500000001,37.542555
1412503,416646,1,127.12531500000001,37.498185
1412508,416780,1,127.125765,37.510245000000005
1412521,416424,1,127.126935,37.478205
1412521,416985,2,127.126935,37.528695
1412524,416683,1,127.127205,37.501515000000005
1412534,416743,1,127.128105,37.506915
1412552,416501,1,127.12972500000001,37.485135
1412582,416591,1,127.13242500000001,37.493235000000006
1412657,416993,1,127.13917500000001,37.529415
1412675,417277,1,127.14079500000001,37.554975
1412729,416419,1,127.145655,37.477755
1412729,416948,1,127.145655,37.525365
1412757,416633,1,127.14817500000001,37.497015000000005
1412796,417303,1,127.15168500000001,37.557315
1412845,417262,1,127.15609500000001,37.553625000000004
1412953,417291,1,127.16581500000001,37.556235
1413035,417387,1,127.173195,37.564875
